instance,count,sign,main_group,layer,frac_fb,frac_lat,frac_ff,VIC,cluster,size,r2
Cm3_R,167,-1,OL internal,2.041762781248625,0.3047296346011033,0.6817100300394954,0.013560335359401298,0.14964275,,5.245245897200076,0.7916359486610688
Cm4_R,126,-1,OL internal,2.000033728200502,0.1494514815816604,0.8026301292827603,0.04791838913557926,0.2023524,,3.9061519271821665,0.7585530159870597
Cm5_R,109,-1,OL internal,2.023912316317733,0.3076388222337962,0.6624297630155761,0.029931414750627782,0.1577814,,6.737347336268309,0.5161244012093105
Cm6_R,106,-1,OL internal,2.038700583776558,0.02173988259847314,0.9052201963859464,0.07303992101558046,0.15863681,,6.534081173431061,0.6404339450455125
Cm7_R,93,-1,OL internal,2.0356464285088323,0.4799332394155344,0.50371704524624,0.016349715338225743,0.11367165,,9.606752671647742,0.5057091694756973
Cm8_R,90,-1,OL internal,2.0107058408019363,0.09888625621912667,0.757045153102371,0.14406859067850236,0.14115155,,7.800283210505491,0.5451210083547584
Cm9_R,73,-1,OL internal,2.1164308331381463,0.19824764358559455,0.7913615648746494,0.010390791539755993,0.17595957,,9.601986239682567,0.543129284876751
DCH_L,1,-1,CB input,2.951174077672816,0.787116139459709,0.2114523204802586,0.001431540060032325,0.13530248,,85.61791470554307,-1.0
DN1a_R,2,-1,CB input,3.193070660119783,0.4868855027587628,0.3242504979509604,0.1888639992902768,0.013928598,,124.41838146384013,-0.11748234877186775
Dm-DRA1_R,26,-1,OL internal,1.0387142086599326,0.002312869369143662,0.3352429842154328,0.6624441464154236,0.30560535,,3.616157700184599,0.5156674985231224
Dm-DRA2_R,18,-1,OL internal,1.0,0.005774046639238053,0.4049159030410248,0.589310050319737,0.47678855,,2.7171039185915626,0.5215619618092326
Dm10_R,311,-1,OL internal,1.9123374438265257,0.29896907216494845,0.7010309278350515,0.0,0.2921645,,3.9452259932095393,0.8376391691967111
Dm11_R,82,-1,OL internal,1.0764350097668631,0.008389903618580087,0.5205269154495367,0.47108318093188317,0.28541332,,3.2390379403387506,0.35981304896124544
Dm12_R,137,-1,OL internal,1.00749224574475,0.44220078533867474,0.283933529570949,0.27386568509037634,0.44314623,,3.612040286510433,0.3888920471322497
Dm13_R,28,-1,OL internal,1.9964674022500035,0.548853034545579,0.4503823868935297,0.0007645785608912896,0.33900046,,12.995444859447236,-0.6582654284321411
Dm14_R,16,-1,OL internal,1.8914738019498163,0.49402875427812754,0.504598470907999,0.0013727748138734257,0.3557262,,31.358484009422263,0.33376705736256884
Dm15_R,242,-1,OL internal,1.0,0.20812174109348525,0.5715475466664371,0.22033071224007747,0.61935985,,2.866889198911163,0.698703883423105
Dm16_R,75,-1,OL internal,1.840939547084084,0.40039337504173256,0.5996066249582673,0.0,0.26531667,,6.251385413729331,0.26288705328780204
Dm17_R,4,-1,OL internal,1.0170616659112772,0.16609285665140616,0.574614886016371,0.25929225733222283,0.45365754,,60.02081220740284,-0.48081844928470874
Dm18_R,27,-1,OL internal,1.9898368337085903,0.4432828018818609,0.5567171981181391,0.0,0.34830722,,16.578587388740424,-1.0
